Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
113,2026-05-22 15:47:27,14.507,Maki04,45.217,12.685,6,9,1,4.31,24,66.667,43.548,48.936,11,12,61,143,26,11,1,70.69,29.87,51.485,66,8,10,41,28,6,1,3.759,23
114,2026-05-14 09:57:33,8.987,Mayottatoki,40.187,9.612,4,14,0,4.023,16,41.667,38.636,41.026,7,7,43,107,4,7,0,70,22.388,37.864,40,3,4,28,16,6,0,2.9,15
119,2026-06-03 12:00:12,14.542,Fumiii,41.379,10.93,5,5,1,4.139,9,35.714,51.515,48.837,10,8,41,108,9,17,1,71.429,8,53.704,58,6,7,37,21,6,0,3.397,11
120,2026-05-12 11:36:19,12.59,HiHi,39.855,9.308,4,21,1,4.509,18,33.333,48.077,35.385,10,5,55,138,3,3,0,80.435,19.565,33.333,46,6,6,37,9,2,0,3.326,18
121,2026-06-06 18:33:36,16.364,Janoxx,35.484,16.901,14,9,2,3.806,9,61.111,8.163,8.333,15,11,33,137,38,47,0,93.333,9.474,9.722,24,18,3,24,3,1,1,2.895,16
125,2026-05-28 23:51:53,11.191,paperyoshi10,45.39,14.263,11,7,1,4.109,28,95.455,34.146,40.426,15,7,64,141,12,11,1,92.683,26,31.481,41,11,2,38,3,2,2,3.833,26
128,2026-05-10 15:35:00,14.837,apurplenose,60.417,21.143,8,8,0,4.395,36,59.259,69.697,60.526,13,20,70,145,19,8,0,89.362,34.831,48.958,59,8,4,48,11,3,2,3.759,31
133,2026-05-16 12:02:57,10.708,ChrisLefko,32.632,8.329,3,9,2,4.794,9,68.421,29.787,25.714,8,8,39,144,25,20,0,53.191,9.615,47.475,53,5,9,25,33,7,1,3.524,18
134,2026-05-28 23:51:53,14.834,Jakemonkey,44.604,12.465,6,21,1,4.17,27,66.667,48.148,33.333,9,12,62,139,9,9,0,88.571,29.808,28.814,35,9,5,31,8,1,2,3.229,31
143,2026-06-10 16:14:16,9.719,mahzrunner,24.0,8.252,4,22,3,3.55,20,25,24.444,30.357,8,6,30,125,6,5,0,62.069,6.349,30,29,6,3,18,11,5,1,3.0,12
144,2026-05-03 15:42:57,10.365,liljakatsuragi,35.385,9.947,4,6,1,4.222,21,47.059,33.333,40.741,11,11,46,149,10,13,0,66.667,20,43.137,56,9,9,33,24,5,1,3.377,17
146,2026-06-03 12:00:12,15.696,tapumomo,38.776,11.94,7,9,0,4.316,24,58.333,41.86,40.351,15,13,48,132,18,20,1,79.412,23.377,35.606,47,9,7,35,16,3,2,3.588,18
148,2026-05-22 15:47:27,12.743,uy5gf,28.571,9.585,7,28,3,4.692,8,36.842,32.759,29.091,10,7,39,144,20,21,0,58.333,8.333,47.445,65,14,11,33,37,8,0,3.067,11
149,2026-05-28 23:51:53,11.495,Zozo,38.542,12.83,9,27,0,4.0,24,33.333,33.333,51.163,12,18,48,141,12,5,0,83.333,22.093,31.25,40,8,7,30,10,1,4,3.406,19
150,2026-05-15 10:45:58,9.744,Bommie,37.5,10.819,5,7,1,4.475,19,31.579,37.209,55.263,11,12,50,137,21,23,0,78.723,9.091,52.8,66,6,9,42,25,9,1,3.702,8
155,2026-05-06 11:39:01,11.249,Unborned,20.455,6.62,1,9,1,4.522,4,44.828,9.804,3.571,3,4,23,122,5,6,0,53.846,6.452,34.426,42,6,3,18,24,6,0,3.262,5
156,2026-05-28 23:51:53,11.449,Zental,46.296,16.694,7,19,1,3.86,27,60,57.576,48.98,16,9,55,147,11,7,0,82.979,29.412,39.048,47,11,5,39,10,2,1,3.128,20
159,2026-06-06 18:33:36,13.769,legrandort,43.158,11.191,8,9,0,4.605,7,84.615,43.902,54.286,13,9,49,137,39,65,2,96.552,9.709,32.5,37,10,6,33,11,4,1,4.138,17
160,2026-05-26 15:26:05,4.311,Skychael,30.4,8.946,6,9,4,4.444,9,71.429,36.842,40,11,10,38,134,20,34,0,73.333,8.824,30.4,38,10,6,25,18,5,1,3.632,14
164,2026-05-16 12:02:57,6.42,IAmAsianNoob,28.947,10.137,7,8,1,5.0,4,33.333,29.167,38.095,9,5,34,121,24,16,0,84.848,9.211,29.412,33,6,4,28,14,2,1,3.87,12
166,2026-06-10 16:14:16,10.802,gw13,27.206,6.003,1,22,0,4.27,16,21.212,36.17,23.214,6,6,37,136,5,1,0,86.667,19.835,11.029,15,3,0,13,2,0,0,3.133,24
168,2026-05-28 23:51:53,7.659,Lightning,21.93,4.375,0,15,0,4.56,6,38.095,15.385,20.37,0,7,25,114,1,5,0,71.429,5.814,24.561,28,3,1,20,8,3,0,3.75,5
169,2026-05-14 09:57:33,5.726,yashadox,17.593,5.593,2,13,1,4.368,7,37.5,19.512,6.061,3,7,19,108,2,9,0,51.724,1.613,33.333,36,8,5,18,18,4,0,3.028,1
170,2026-05-22 15:47:27,8.358,hubcioskubcio,18.269,6.239,3,9,2,4.875,8,9.091,23.333,9.302,4,4,21,134,17,22,0,73.913,8.333,25.424,30,6,5,17,16,5,1,3.826,7
171,2026-05-03 15:42:57,2.824,JustAWeirdo,20.43,4.525,1,8,0,4.368,8,22.222,17.5,28.571,4,3,19,101,6,5,0,81.25,9.524,17.204,17,3,1,13,6,1,0,3.688,8
172,2026-06-03 12:00:12,7.463,oolli,33.333,9.171,4,8,2,4.167,21,55.556,42.105,36.364,11,7,44,149,21,15,0,70,8.602,45.865,61,8,13,39,26,7,1,3.456,10
174,2026-05-15 10:45:58,9.01,TateyamaAyano,21.384,6.367,2,7,3,4.696,7,28.947,8,6.349,4,8,34,159,8,15,1,61.765,6.897,27.419,43,7,7,26,20,5,0,4.088,8
176,2026-05-26 15:26:05,14.827,Spitzell,50.407,12.708,8,9,1,4.529,29,66.667,52,51.22,12,16,62,159,88,68,2,85.185,8.772,45.545,61,9,8,44,20,6,2,3.93,20
191,2026-05-10 15:35:00,10.0,redeyes,29.752,6.776,1,7,0,4.667,10,40.909,19.298,38.095,4,3,36,121,1,3,1,60,11.842,37.19,45,2,2,27,18,6,0,3.422,9
194,2026-04-21 16:01:50,11.093,Math1234,53.488,15.796,6,11,0,3.812,31,80,62.069,33.333,13,13,69,129,4,1,0,68.75,38.462,49.612,64,3,5,44,20,3,0,3.156,25
196,2026-05-28 23:51:53,10.0,Huntson,37.963,7.485,0,14,0,4.512,9,50,34.146,36.17,6,7,41,108,3,3,0,58.824,19.298,47.222,51,5,6,30,21,3,0,3.392,11
201,2026-02-22 14:11:03,17.131,rorf,36.29,10.662,5,20,1,4.194,21,52,40.741,31.373,11,15,45,124,10,7,0,83.871,18.841,30.645,38,9,5,31,8,4,0,3.053,14
205,2026-06-10 16:14:16,12.785,sssthnoob,43.22,15.363,9,9,1,4.978,29,68.421,51.22,48.889,16,15,56,137,48,40,4,84.615,9.589,50,66,9,9,49,20,8,1,3.8,14
214,2026-05-26 15:26:05,11.213,Torradinhas,22.388,7.38,4,19,3,3.867,13,19.048,27.869,17.308,7,5,30,134,3,3,0,48.837,9.89,32.09,43,6,6,21,22,3,1,2.814,9
217,2026-05-09 11:38:22,9.137,ShelterRin,35.849,10.074,7,12,1,4.282,15,42.105,41.463,38.095,9,5,39,112,2,9,0,82.759,18.072,33.962,36,2,4,28,8,2,0,3.828,15
221,2026-01-28 16:33:45,19.887,Neumann,56.028,18.035,10,8,1,4.034,35,66.667,51.667,56.14,14,17,79,141,7,10,0,88.525,31.25,43.262,61,11,3,54,8,4,1,3.676,28
223,2026-01-24 03:16:34,10.081,VuhrCulls,35.135,10.014,6,8,0,3.821,18,42.857,33.333,42,9,9,39,123,3,9,0,88.235,6.944,35.135,39,6,2,34,5,2,1,3.5,5
